SubjectName,TrialNumber,TrialName,FrechetLearn,FrechetLearnReversed,FrechetShortcut,FrechetTopo,LearnDistance,ShortcutDistance,Failure
A,1,dsp2_24,4.0,7.0,1.0,7.211102550927978,17,9.0,0
A,2,dsp2_06,7.0,4.123105625617661,3.1622776601683795,9.055385138137417,36,10.0,0
A,4,dsp2_16,3.605551275463989,6.4031242374328485,0.0,7.615773105863909,14,10.0,0
A,5,dsp2_14,4.0,6.708203932499369,2.8284271247461903,8.0,14,10.0,0
A,6,dsp2_04,8.246211251235321,4.0,2.0,7.280109889280518,31,11.0,0
A,7,dsp2_19,6.708203932499369,4.0,0.0,5.830951894845301,27,7.0,0
A,8,dsp2_02,6.4031242374328485,4.0,3.605551275463989,6.0,20,10.0,1
A,9,dsp2_21,4.0,5.656854249492381,1.0,9.055385138137417,15,9.0,0
A,10,dsp2_10,0.0,7.810249675906654,2.0,7.615773105863909,14,10.0,0
A,11,dsp2_13,5.656854249492381,5.0,0.0,8.48528137423857,28,16.0,0
A,12,dsp2_08,6.4031242374328485,4.242640687119285,3.0,7.211102550927978,28,8.0,0
A,13,dsp2_17,8.602325267042627,2.0,3.605551275463989,7.0710678118654755,33,9.0,0
A,14,dsp2_22,9.433981132056603,9.433981132056603,9.433981132056603,8.54400374531753,30,8.0,1
A,15,dsp2_23,6.082762530298219,5.656854249492381,0.0,5.830951894845301,20,8.0,0
A,16,dsp2_18,4.0,8.246211251235321,0.0,7.0710678118654755,13,7.0,0
A,17,dsp2_07,4.0,6.708203932499369,1.0,7.211102550927978,21,13.0,0
A,18,dsp2_11,5.656854249492381,6.708203932499369,0.0,4.0,22,4.0,0
A,19,dsp2_09,5.656854249492381,6.082762530298219,0.0,6.0,31,11.0,0
A,20,dsp2_05,5.0,4.0,0.0,9.055385138137417,29,13.0,0
