Object1,Object1_X,Object1_Y,Object2,Object2_X,Object2_Y,Shortest_Distance,Path
Stove,1,1,Plant,4,1,8.0,"(1, 1)->(2, 1)->(2, 2)->(2, 3)->(3, 3)->(4, 3)->(4, 2)->(4, 1)"
Stove,1,1,Telescope,6,0,11.0,"(1, 1)->(2, 1)->(2, 2)->(2, 3)->(3, 3)->(4, 3)->(4, 2)->(4, 1)->(4, 0)->(5, 0)->(6, 0)"
Stove,1,1,Mailbox,10,1,16.0,"(1, 1)->(2, 1)->(2, 2)->(2, 3)->(3, 3)->(4, 3)->(4, 2)->(4, 1)->(4, 0)->(5, 0)->(6, 0)->(7, 0)->(8, 0)->(9, 0)->(10, 0)->(10, 1)"
Stove,1,1,Wheelbarrow,5,5,9.0,"(1, 1)->(2, 1)->(2, 2)->(2, 3)->(3, 3)->(4, 3)->(4, 4)->(4, 5)->(5, 5)"
Stove,1,1,Chair,10,6,17.0,"(1, 1)->(2, 1)->(2, 2)->(2, 3)->(3, 3)->(4, 3)->(4, 4)->(4, 5)->(5, 5)->(6, 5)->(7, 5)->(7, 4)->(8, 4)->(9, 4)->(10, 4)->(10, 5)->(10, 6)"
Stove,1,1,Piano,0,7,8.0,"(1, 1)->(0, 1)->(0, 2)->(0, 3)->(0, 4)->(0, 5)->(0, 6)->(0, 7)"
Stove,1,1,Bookshelf,3,7,11.0,"(1, 1)->(0, 1)->(0, 2)->(0, 3)->(0, 4)->(0, 5)->(1, 5)->(2, 5)->(3, 5)->(3, 6)->(3, 7)"
Stove,1,1,Harp,6,7,12.0,"(1, 1)->(2, 1)->(2, 2)->(2, 3)->(3, 3)->(4, 3)->(4, 4)->(4, 5)->(5, 5)->(6, 5)->(6, 6)->(6, 7)"
Stove,1,1,Well,8,8,15.0,"(1, 1)->(2, 1)->(2, 2)->(2, 3)->(3, 3)->(4, 3)->(4, 4)->(4, 5)->(5, 5)->(6, 5)->(6, 6)->(6, 7)->(6, 8)->(7, 8)->(8, 8)"
Stove,1,1,Trash Can,2,9,12.0,"(1, 1)->(0, 1)->(0, 2)->(0, 3)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(1, 9)->(2, 9)"
