Object1,Object1_X,Object1_Y,Object2,Object2_X,Object2_Y,Shortest_Distance,Path
Picnic Table,3,3,Plant,4,1,4,"(3, 3)->(4, 3)->(4, 2)->(4, 1)"
Picnic Table,3,3,Telescope,6,0,7,"(3, 3)->(4, 3)->(4, 2)->(4, 1)->(4, 0)->(5, 0)->(6, 0)"
Picnic Table,3,3,Mailbox,10,1,12,"(3, 3)->(4, 3)->(4, 2)->(4, 1)->(4, 0)->(5, 0)->(6, 0)->(7, 0)->(8, 0)->(9, 0)->(10, 0)->(10, 1)"
Picnic Table,3,3,Chair,10,6,17,"(3, 3)->(4, 3)->(4, 2)->(4, 1)->(4, 0)->(5, 0)->(6, 0)->(7, 0)->(8, 0)->(9, 0)->(10, 0)->(10, 1)->(10, 2)->(10, 3)->(10, 4)->(10, 5)->(10, 6)"
Picnic Table,3,3,Well,8,8,21,"(3, 3)->(4, 3)->(4, 2)->(4, 1)->(4, 0)->(5, 0)->(6, 0)->(7, 0)->(8, 0)->(9, 0)->(10, 0)->(10, 1)->(10, 2)->(10, 3)->(10, 4)->(10, 5)->(10, 6)->(10, 7)->(10, 8)->(9, 8)->(8, 8)"
Picnic Table,3,3,Harp,6,7,24,"(3, 3)->(4, 3)->(4, 2)->(4, 1)->(4, 0)->(5, 0)->(6, 0)->(7, 0)->(8, 0)->(9, 0)->(10, 0)->(10, 1)->(10, 2)->(10, 3)->(10, 4)->(10, 5)->(10, 6)->(10, 7)->(10, 8)->(9, 8)->(8, 8)->(7, 8)->(6, 8)->(6, 7)"
Picnic Table,3,3,Wheelbarrow,5,5,27,"(3, 3)->(4, 3)->(4, 2)->(4, 1)->(4, 0)->(5, 0)->(6, 0)->(7, 0)->(8, 0)->(9, 0)->(10, 0)->(10, 1)->(10, 2)->(10, 3)->(10, 4)->(10, 5)->(10, 6)->(10, 7)->(10, 8)->(9, 8)->(8, 8)->(7, 8)->(6, 8)->(6, 7)->(6, 6)->(6, 5)->(5, 5)"
Picnic Table,3,3,Bookshelf,3,7,31,"(3, 3)->(4, 3)->(4, 2)->(4, 1)->(4, 0)->(5, 0)->(6, 0)->(7, 0)->(8, 0)->(9, 0)->(10, 0)->(10, 1)->(10, 2)->(10, 3)->(10, 4)->(10, 5)->(10, 6)->(10, 7)->(10, 8)->(9, 8)->(8, 8)->(7, 8)->(6, 8)->(6, 7)->(6, 6)->(6, 5)->(5, 5)->(4, 5)->(3, 5)->(3, 6)->(3, 7)"
Picnic Table,3,3,Trash Can,2,9,34,"(3, 3)->(4, 3)->(4, 2)->(4, 1)->(4, 0)->(5, 0)->(6, 0)->(7, 0)->(8, 0)->(9, 0)->(10, 0)->(10, 1)->(10, 2)->(10, 3)->(10, 4)->(10, 5)->(10, 6)->(10, 7)->(10, 8)->(9, 8)->(8, 8)->(7, 8)->(6, 8)->(6, 7)->(6, 6)->(6, 5)->(5, 5)->(4, 5)->(3, 5)->(3, 6)->(3, 7)->(3, 8)->(3, 9)->(2, 9)"
Picnic Table,3,3,Piano,0,7,38,"(3, 3)->(4, 3)->(4, 2)->(4, 1)->(4, 0)->(5, 0)->(6, 0)->(7, 0)->(8, 0)->(9, 0)->(10, 0)->(10, 1)->(10, 2)->(10, 3)->(10, 4)->(10, 5)->(10, 6)->(10, 7)->(10, 8)->(9, 8)->(8, 8)->(7, 8)->(6, 8)->(6, 7)->(6, 6)->(6, 5)->(5, 5)->(4, 5)->(3, 5)->(3, 6)->(3, 7)->(3, 8)->(3, 9)->(2, 9)->(1, 9)->(0, 9)->(0, 8)->(0, 7)"
