Source, Destination, Distance,StartX,StartY,EndX,EndY
Well,Picnic Table,10,9,9,4,4
Chair,Piano,15,11,7,1,8
Chair,Trash Can,11,11,7,3,10
Mailbox,Bookshelf,13,11,2,4,8
Mailbox,Harp,10,11,2,7,8
Telescope,Trash Can,13,7,1,3,10
Telescope,Wheelbarrow,8,7,1,6,6
Plant,Well,11,5,2,9,9
Plant,Piano,10,5,2,1,8
Picnic Table,Wheelbarrow,4,4,4,6,6
Stove,Chair,16,2,2,11,7
Stove,Bookshelf,10,2,2,4,8
Piano,Harp,10,1,8,7,8
Trash Can,Picnic Table,9,3,10,4,4
Trash Can,Well,7,3,10,9,9
Bookshelf,Plant,7,4,8,5,2
Wheelbarrow,Mailbox,9,6,6,11,2
Wheelbarrow,Stove,8,6,6,2,2
Harp,Plant,8,7,8,5,2
Harp,Telescope,9,7,8,7,1
