TrialName,Source,Destination,TrueAngle,Rotation
dsp1_02,Well,Picnic Table,229.7734,0
dsp1_03,Chair,Piano,276.3792,270
dsp1_04,Chair,Trash Can,294.6239,270
dsp1_05,Mailbox,Bookshelf,312.7212,270
dsp1_06,Mailbox,Harp,321.0942,270
dsp1_07,Telescope,Trash Can,337.7029,0
dsp1_08,Telescope,Wheelbarrow,346.9261,0
dsp1_09,Plant,Well,27.74761,270
dsp1_10,Plant,Piano,331.7312,270
dsp1_11,Picnic Table,Wheelbarrow,58.82597,0
dsp1_13,Stove,Chair,59.10835,180
dsp1_14,Stove,Bookshelf,23.892,180
dsp1_16,Piano,Harp,95.85859,90
dsp1_17,Trash Can,Picnic Table,167.862,0
dsp1_18,Trash Can,Well,92.58802,0
dsp1_19,Bookshelf,Plant,176.3046,90
dsp1_21,Wheelbarrow,Mailbox,132.9743,180
dsp1_22,Wheelbarrow,Stove,219.3124,180
dsp1_23,Harp,Plant,203.0855,270
dsp1_24,Harp,Telescope,179.7281,270
