Object1,Object1_X,Object1_Y,Object2,Object2_X,Object2_Y,Shortest_Distance,Path
Clock,3,3,Swing,1,4,4,"(3, 3)->(3, 4)->(2, 4)->(1, 4)"
Clock,3,3,Phonebooth,0,6,7,"(3, 3)->(3, 4)->(2, 4)->(1, 4)->(0, 4)->(0, 5)->(0, 6)"
Clock,3,3,Couch,1,10,12,"(3, 3)->(3, 4)->(2, 4)->(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)"
Clock,3,3,Statue,6,10,17,"(3, 3)->(3, 4)->(2, 4)->(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)"
Clock,3,3,Bicycle,8,8,21,"(3, 3)->(3, 4)->(2, 4)->(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)"
Clock,3,3,Fridge,7,6,24,"(3, 3)->(3, 4)->(2, 4)->(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)"
Clock,3,3,Stepladder,5,5,27,"(3, 3)->(3, 4)->(2, 4)->(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)"
Clock,3,3,Streetlamp,7,3,31,"(3, 3)->(3, 4)->(2, 4)->(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)"
Clock,3,3,Water cooler,9,2,34,"(3, 3)->(3, 4)->(2, 4)->(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)"
Clock,3,3,Desk,7,0,38,"(3, 3)->(3, 4)->(2, 4)->(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)"
Clock,3,3,TV,1,1,45,"(3, 3)->(3, 4)->(2, 4)->(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(2, 0)->(1, 0)->(1, 1)"
Swing,1,4,Clock,3,3,46,"(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(2, 0)->(1, 0)->(1, 1)->(1, 2)->(2, 2)->(3, 2)->(3, 3)"
Swing,1,4,Phonebooth,0,6,4,"(1, 4)->(0, 4)->(0, 5)->(0, 6)"
Swing,1,4,Couch,1,10,9,"(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)"
Swing,1,4,Statue,6,10,14,"(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)"
Swing,1,4,Bicycle,8,8,18,"(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)"
Swing,1,4,Fridge,7,6,21,"(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)"
Swing,1,4,Stepladder,5,5,24,"(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)"
Swing,1,4,Streetlamp,7,3,28,"(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)"
Swing,1,4,Water cooler,9,2,31,"(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)"
Swing,1,4,Desk,7,0,35,"(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)"
Swing,1,4,TV,1,1,42,"(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(2, 0)->(1, 0)->(1, 1)"
Phonebooth,0,6,Clock,3,3,43,"(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(2, 0)->(1, 0)->(1, 1)->(1, 2)->(2, 2)->(3, 2)->(3, 3)"
Phonebooth,0,6,Swing,1,4,46,"(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(2, 0)->(1, 0)->(1, 1)->(1, 2)->(2, 2)->(3, 2)->(3, 3)->(3, 4)->(2, 4)->(1, 4)"
Phonebooth,0,6,Couch,1,10,6,"(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)"
Phonebooth,0,6,Statue,6,10,11,"(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)"
