Object1,Object1_X,Object1_Y,Object2,Object2_X,Object2_Y,Shortest_Distance,Path
TV,1,1,Desk,7,0,8.0,"(1, 1)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(6, 0)->(7, 0)"
TV,1,1,Water cooler,9,2,12.0,"(1, 1)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(6, 0)->(7, 0)->(8, 0)->(9, 0)->(9, 1)->(9, 2)"
TV,1,1,Clock,3,3,5.0,"(1, 1)->(1, 2)->(2, 2)->(3, 2)->(3, 3)"
TV,1,1,Streetlamp,7,3,11.0,"(1, 1)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(5, 3)->(6, 3)->(7, 3)"
TV,1,1,Swing,1,4,8.0,"(1, 1)->(1, 2)->(2, 2)->(3, 2)->(3, 3)->(3, 4)->(2, 4)->(1, 4)"
TV,1,1,Stepladder,5,5,9.0,"(1, 1)->(1, 2)->(2, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(5, 5)"
TV,1,1,Phonebooth,0,6,11.0,"(1, 1)->(1, 2)->(2, 2)->(3, 2)->(3, 3)->(3, 4)->(2, 4)->(1, 4)->(0, 4)->(0, 5)->(0, 6)"
TV,1,1,Fridge,7,6,12.0,"(1, 1)->(1, 2)->(2, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(5, 5)->(5, 6)->(6, 6)->(7, 6)"
TV,1,1,Bicycle,8,8,15.0,"(1, 1)->(1, 2)->(2, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)"
TV,1,1,Couch,1,10,16.0,"(1, 1)->(1, 2)->(2, 2)->(3, 2)->(3, 3)->(3, 4)->(2, 4)->(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)"
TV,1,1,Statue,6,10,17.0,"(1, 1)->(1, 2)->(2, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(5, 5)->(5, 6)->(5, 7)->(4, 7)->(4, 8)->(4, 9)->(4, 10)->(5, 10)->(6, 10)"
Desk,7,0,Water cooler,9,2,5.0,"(7, 0)->(8, 0)->(9, 0)->(9, 1)->(9, 2)"
Desk,7,0,Clock,3,3,8.0,"(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(3, 1)->(3, 2)->(3, 3)"
Desk,7,0,Streetlamp,7,3,8.0,"(7, 0)->(6, 0)->(5, 0)->(5, 1)->(5, 2)->(5, 3)->(6, 3)->(7, 3)"
Desk,7,0,Swing,1,4,11.0,"(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(3, 1)->(3, 2)->(3, 3)->(3, 4)->(2, 4)->(1, 4)"
Desk,7,0,Stepladder,5,5,8.0,"(7, 0)->(6, 0)->(5, 0)->(5, 1)->(5, 2)->(5, 3)->(5, 4)->(5, 5)"
Desk,7,0,Phonebooth,0,6,14.0,"(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(3, 1)->(3, 2)->(3, 3)->(3, 4)->(2, 4)->(1, 4)->(0, 4)->(0, 5)->(0, 6)"
Desk,7,0,Fridge,7,6,11.0,"(7, 0)->(6, 0)->(5, 0)->(5, 1)->(5, 2)->(5, 3)->(5, 4)->(5, 5)->(5, 6)->(6, 6)->(7, 6)"
Desk,7,0,Bicycle,8,8,12.0,"(7, 0)->(8, 0)->(9, 0)->(9, 1)->(9, 2)->(9, 3)->(9, 4)->(9, 5)->(9, 6)->(8, 6)->(8, 7)->(8, 8)"
Desk,7,0,Couch,1,10,17.0,"(7, 0)->(6, 0)->(5, 0)->(5, 1)->(5, 2)->(5, 3)->(5, 4)->(5, 5)->(5, 6)->(5, 7)->(4, 7)->(4, 8)->(4, 9)->(4, 10)->(3, 10)->(2, 10)->(1, 10)"
Desk,7,0,Statue,6,10,16.0,"(7, 0)->(6, 0)->(5, 0)->(5, 1)->(5, 2)->(5, 3)->(5, 4)->(5, 5)->(5, 6)->(5, 7)->(4, 7)->(4, 8)->(4, 9)->(4, 10)->(5, 10)->(6, 10)"
Water cooler,9,2,Clock,3,3,10.0,"(9, 2)->(9, 3)->(8, 3)->(7, 3)->(6, 3)->(5, 3)->(5, 4)->(4, 4)->(3, 4)->(3, 3)"
Water cooler,9,2,Streetlamp,7,3,4.0,"(9, 2)->(9, 3)->(8, 3)->(7, 3)"
Water cooler,9,2,Swing,1,4,11.0,"(9, 2)->(9, 3)->(8, 3)->(7, 3)->(6, 3)->(5, 3)->(5, 4)->(4, 4)->(3, 4)->(2, 4)->(1, 4)"
Water cooler,9,2,Stepladder,5,5,8.0,"(9, 2)->(9, 3)->(8, 3)->(7, 3)->(6, 3)->(5, 3)->(5, 4)->(5, 5)"
Water cooler,9,2,Phonebooth,0,6,14.0,"(9, 2)->(9, 3)->(8, 3)->(7, 3)->(6, 3)->(5, 3)->(5, 4)->(4, 4)->(3, 4)->(2, 4)->(1, 4)->(0, 4)->(0, 5)->(0, 6)"
Water cooler,9,2,Fridge,7,6,7.0,"(9, 2)->(9, 3)->(9, 4)->(9, 5)->(9, 6)->(8, 6)->(7, 6)"
Water cooler,9,2,Bicycle,8,8,8.0,"(9, 2)->(9, 3)->(9, 4)->(9, 5)->(9, 6)->(8, 6)->(8, 7)->(8, 8)"
Water cooler,9,2,Couch,1,10,17.0,"(9, 2)->(9, 3)->(8, 3)->(7, 3)->(6, 3)->(5, 3)->(5, 4)->(5, 5)->(5, 6)->(5, 7)->(4, 7)->(4, 8)->(4, 9)->(4, 10)->(3, 10)->(2, 10)->(1, 10)"
Water cooler,9,2,Statue,6,10,12.0,"(9, 2)->(9, 3)->(9, 4)->(9, 5)->(9, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)"
Clock,3,3,Streetlamp,7,3,7.0,"(3, 3)->(3, 4)->(4, 4)->(5, 4)->(5, 3)->(6, 3)->(7, 3)"
Clock,3,3,Swing,1,4,4.0,"(3, 3)->(3, 4)->(2, 4)->(1, 4)"
Clock,3,3,Stepladder,5,5,5.0,"(3, 3)->(3, 4)->(4, 4)->(5, 4)->(5, 5)"
Clock,3,3,Phonebooth,0,6,7.0,"(3, 3)->(3, 4)->(2, 4)->(1, 4)->(0, 4)->(0, 5)->(0, 6)"
Clock,3,3,Fridge,7,6,8.0,"(3, 3)->(3, 4)->(4, 4)->(5, 4)->(5, 5)->(5, 6)->(6, 6)->(7, 6)"
Clock,3,3,Bicycle,8,8,11.0,"(3, 3)->(3, 4)->(4, 4)->(5, 4)->(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)"
Clock,3,3,Couch,1,10,12.0,"(3, 3)->(3, 4)->(2, 4)->(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)"
Clock,3,3,Statue,6,10,13.0,"(3, 3)->(3, 4)->(4, 4)->(5, 4)->(5, 5)->(5, 6)->(5, 7)->(4, 7)->(4, 8)->(4, 9)->(4, 10)->(5, 10)->(6, 10)"
Streetlamp,7,3,Swing,1,4,8.0,"(7, 3)->(6, 3)->(5, 3)->(5, 4)->(4, 4)->(3, 4)->(2, 4)->(1, 4)"
Streetlamp,7,3,Stepladder,5,5,5.0,"(7, 3)->(6, 3)->(5, 3)->(5, 4)->(5, 5)"
